spineID,segmentID,point,anchor,xBackgroundOffset,yBackgroundOffset,z,anchorZ,roiExtend,modified,t
0,0,POINT (431 239),POINT (425 225.4),35.1,-43.65,31.0,31.0,4,0,0
1,0,POINT (382 250),POINT (378 236),30.6,41.4,31.0,31.0,4,0,0
2,0,POINT (416 245),POINT (414 228),13.050000000000004,49.95,31.0,31.0,4,0,0
3,0,POINT (447 231),POINT (444 218.1),33.300000000000004,-41.4,31.0,31.0,4,0,0
4,0,POINT (486 229),POINT (477 213),20.25,-46.800000000000004,31.0,31.0,4,0,0
5,0,POINT (530 216),POINT (527 206),28.8,-17.1,31.0,31.0,4,0,0
6,0,POINT (557 219),POINT (557 203.8),14.400000000000002,-42.300000000000004,30.8,30.8,4,0,0
7,0,POINT (579 213),POINT (575 203.3),0.0,-17.325,30.3,30.3,4,0,0
8,0,POINT (652 221),POINT (653 202.5),-29.7,-49.5,30.0,30.0,4,0,0
9,0,POINT (667 221),POINT (662 202.7),0.0,-50.4,30.0,30.0,4,0,0
10,0,POINT (717 224),POINT (721 215),-15.525,-16.425,28.0,28.0,4,0,0
11,0,POINT (696 221),POINT (698 206.9),-31.05,-41.4,30.0,30.0,4,0,0
12,0,POINT (749 228),POINT (745 214.2),30.6,-19.8,29.0,29.0,4,0,0
13,0,POINT (759 237),POINT (763 214.4),15.075,-27.675,29.0,29.0,4,0,0
14,0,POINT (775 232),POINT (778 214.5),0.0,-22.95,29.0,29.0,4,0,0
15,0,POINT (784 226),POINT (779 214.5),32.85,36.45,29.0,29.0,4,0,0
16,0,POINT (887 255),POINT (897 240),0.0,23.4,28.0,28.0,4,0,0
17,0,POINT (940 262),POINT (938.8 251.8),30.6,0.0,28.0,28.0,4,0,0
18,0,POINT (950 260),POINT (954 250),-15.525,17.324999999999996,28.0,28.0,4,0,0
19,0,POINT (1007 264),POINT (1006 245.2),29.7,24.97500000000001,28.0,28.0,4,0,0
20,0,POINT (1013 230),POINT (1017 244.3),23.85,43.2,28.0,28.0,4,0,0
21,0,POINT (1007 233),POINT (1002 245.5),36.9,40.5,28.0,28.0,4,0,0
22,0,POINT (990 225),POINT (991 249.2),-13.5,29.925000000000004,28.0,28.0,4,0,0
23,0,POINT (972 235),POINT (976 250),-15.3,21.60000000000001,28.0,28.0,4,0,0
24,0,POINT (920 235),POINT (917 249.7),16.199999999999996,0.0,28.0,28.0,4,0,0
25,0,POINT (889 223),POINT (879 235),0.0,0.0,28.0,28.0,4,0,0
